"person_uri","persName","birthYear"
"http://dbpedia.org/resource/Norman_Hammond","Norman Hammond",1944
"http://dbpedia.org/resource/Richard_Leakey","Richard Leakey",1944
"http://dbpedia.org/resource/Timothy_W._Potter","Timothy W. Potter",1944
"http://dbpedia.org/resource/Roland_Étienne_(archaeologist)","Roland Étienne (archaeologist)",1944
"http://dbpedia.org/resource/Katsuhiko_Ohnuma","Katsuhiko Ohnuma",1944
"http://dbpedia.org/resource/Francis_Pryor","Francis Pryor",1945
"http://dbpedia.org/resource/Elizabeth_Brumfiel","Elizabeth Brumfiel",1945
"http://dbpedia.org/resource/Gary_Urton","Gary Urton",1946
"http://dbpedia.org/resource/Andrew_Sherratt","Andrew Sherratt",1946
"http://dbpedia.org/resource/Mick_Aston","Mick Aston",1946
"http://dbpedia.org/resource/Richard_Bradley_(archaeologist)","Richard Bradley (archaeologist)",1946
"http://dbpedia.org/resource/Pasko_Kuzman","Pasko Kuzman",1947
"http://dbpedia.org/resource/Zahi_Hawass","Zahi Hawass",1947
"http://dbpedia.org/resource/Ronny_Reich","Ronny Reich",1947
"http://dbpedia.org/resource/Roger_Jacobi","Roger Jacobi",1947
"http://dbpedia.org/resource/Roger_Cribb","Roger Cribb",1948
"http://dbpedia.org/resource/David_L._Kennedy","David L. Kennedy",1948
"http://dbpedia.org/resource/Ian_Hodder","Ian Hodder",1948
"http://dbpedia.org/resource/Marc_Waelkens","Marc Waelkens",1948
"http://dbpedia.org/resource/Paolo_Biagi","Paolo Biagi",1948
"http://dbpedia.org/resource/Lotte_Hedeager","Lotte Hedeager",1948
"http://dbpedia.org/resource/Israel_Finkelstein","Israel Finkelstein",1949
"http://dbpedia.org/resource/Alasdair_Whittle","Alasdair Whittle",1949
"http://dbpedia.org/resource/Anna_Belfer-Cohen","Anna Belfer-Cohen",1949
"http://dbpedia.org/resource/Susan_Sherratt","Susan Sherratt",1949
"http://dbpedia.org/resource/Hans-Georg_Stephan","Hans-Georg Stephan",1950
"http://dbpedia.org/resource/Phil_Harding_(archaeologist)","Phil Harding (archaeologist)",1950
"http://dbpedia.org/resource/Mike_Morwood","Mike Morwood",1950
"http://dbpedia.org/resource/Carol_van_Driel-Murray","Carol van Driel-Murray",1950
"http://dbpedia.org/resource/Mary_Beaudry","Mary Beaudry",1950
"http://dbpedia.org/resource/Marek_Zvelebil","Marek Zvelebil",1952
"http://dbpedia.org/resource/Richard_Hodges_(archaeologist)","Richard Hodges (archaeologist)",1952
"http://dbpedia.org/resource/Paul_Bahn","Paul Bahn",1953
"http://dbpedia.org/resource/Klaus_Schmidt_(archaeologist)","Klaus Schmidt (archaeologist)",1953
"http://dbpedia.org/resource/John_C._Whittaker","John C. Whittaker",1953
"http://dbpedia.org/resource/Lynne_Goldstein","Lynne Goldstein",1953
"http://dbpedia.org/resource/Ricardo_Eichmann","Ricardo Eichmann",1955
"http://dbpedia.org/resource/Wil_Roebroeks","Wil Roebroeks",1955
